 v-sweep         v(vin)          v(vout)        
 2.46000000e-01  2.46000000e-01  1.49392314e+00 
 2.47000000e-01  2.47000000e-01  1.49377950e+00 
 2.48000000e-01  2.48000000e-01  1.49363328e+00 
 2.49000000e-01  2.49000000e-01  1.49348447e+00 
 2.50000000e-01  2.50000000e-01  1.49333303e+00 
 2.51000000e-01  2.51000000e-01  1.49317896e+00 
 2.52000000e-01  2.52000000e-01  1.49302222e+00 
 2.53000000e-01  2.53000000e-01  1.49286280e+00 
 2.54000000e-01  2.54000000e-01  1.49270066e+00 
 2.55000000e-01  2.55000000e-01  1.49253579e+00 
 2.56000000e-01  2.56000000e-01  1.49236817e+00 
 2.57000000e-01  2.57000000e-01  1.49219777e+00 
 2.58000000e-01  2.58000000e-01  1.49202457e+00 
 2.59000000e-01  2.59000000e-01  1.49184855e+00 
 2.60000000e-01  2.60000000e-01  1.49166969e+00 
 2.61000000e-01  2.61000000e-01  1.49148796e+00 
 2.62000000e-01  2.62000000e-01  1.49130334e+00 
 2.63000000e-01  2.63000000e-01  1.49111582e+00 
 2.64000000e-01  2.64000000e-01  1.49092536e+00 
 2.65000000e-01  2.65000000e-01  1.49073195e+00 
 2.66000000e-01  2.66000000e-01  1.49053556e+00 
 2.67000000e-01  2.67000000e-01  1.49033617e+00 
 2.68000000e-01  2.68000000e-01  1.49013377e+00 
 2.69000000e-01  2.69000000e-01  1.48992832e+00 
 2.70000000e-01  2.70000000e-01  1.48971981e+00 
 2.71000000e-01  2.71000000e-01  1.48950822e+00 
 2.72000000e-01  2.72000000e-01  1.48929351e+00 
 2.73000000e-01  2.73000000e-01  1.48907568e+00 
 2.74000000e-01  2.74000000e-01  1.48885470e+00 
 2.75000000e-01  2.75000000e-01  1.48863054e+00 
 2.76000000e-01  2.76000000e-01  1.48840319e+00 
 2.77000000e-01  2.77000000e-01  1.48817261e+00 
 2.78000000e-01  2.78000000e-01  1.48793880e+00 
 2.79000000e-01  2.79000000e-01  1.48770172e+00 
 2.80000000e-01  2.80000000e-01  1.48746136e+00 
 2.81000000e-01  2.81000000e-01  1.48721769e+00 
 2.82000000e-01  2.82000000e-01  1.48697069e+00 
 2.83000000e-01  2.83000000e-01  1.48672033e+00 
 2.84000000e-01  2.84000000e-01  1.48646660e+00 
