 time            v(vr)           v(VDD)          i(r1)          
 1.93641166e-08  3.30000016e+00  3.30000000e+00 -1.64060070e-09 
 1.94641166e-08  3.30000011e+00  3.30000000e+00 -1.05118764e-09 
 1.95641166e-08  3.30000007e+00  3.30000000e+00 -6.69867717e-10 
 1.96641166e-08  3.30000004e+00  3.30000000e+00 -4.28129185e-10 
 1.97641166e-08  3.30000003e+00  3.30000000e+00 -2.78067742e-10 
 1.98641166e-08  3.30000002e+00  3.30000000e+00 -1.84974397e-10 
 1.99641166e-08  3.30000000e+00  3.30000000e+00 -3.57516794e-11 
 2.00641166e-08  3.29999984e+00  3.30000000e+00  1.59352988e-09 
 2.01641166e-08  3.29999837e+00  3.30000000e+00  1.63303798e-08 
 2.02466471e-08  3.29999690e+00  3.30000000e+00  3.10282819e-08 
 2.03054310e-08  3.29999794e+00  3.30000000e+00  2.05542687e-08 
 2.03513396e-08  3.29999929e+00  3.30000000e+00  7.09222178e-09 
 2.04032632e-08  3.30000364e+00  3.30000000e+00 -3.63727011e-08 
 2.04617594e-08  3.30001093e+00  3.30000000e+00 -1.09342884e-07 
 2.05467679e-08  3.30001923e+00  3.30000000e+00 -1.92338574e-07 
 2.06395672e-08  3.30002796e+00  3.30000000e+00 -2.79607367e-07 
 2.07395672e-08  3.30003493e+00  3.30000000e+00 -3.49300695e-07 
 2.08057713e-08  3.30002740e+00  3.30000000e+00 -2.73977959e-07 
 2.08700539e-08  3.30000112e+00  3.30000000e+00 -1.12184584e-08 
 2.09203623e-08  3.29995835e+00  3.30000000e+00  4.16488253e-07 
 2.09531223e-08  3.29979381e+00  3.30000000e+00  2.06190733e-06 
 2.09766455e-08  3.29976940e+00  3.30000000e+00  2.30595380e-06 
 2.10001149e-08  3.29985750e+00  3.30000000e+00  1.42502844e-06 
 2.10258362e-08  3.29996031e+00  3.30000000e+00  3.96922759e-07 
 2.10467354e-08  3.30015025e+00  3.30000000e+00 -1.50250327e-06 
 2.10695861e-08  3.30057672e+00  3.30000000e+00 -5.76718599e-06 
 2.10855186e-08  3.30071498e+00  3.30000000e+00 -7.14975832e-06 
 2.11013981e-08  3.30074526e+00  3.30000000e+00 -7.45262683e-06 
 2.11102402e-08  3.30131464e+00  3.30000000e+00 -1.31464428e-05 
 2.11151943e-08  3.30097100e+00  3.30000000e+00 -9.71003527e-06 
